x,y,rho,u,v,p,uu,vv,ww,_uv,
0.098891392,-0.98076069,1.0020224,0.8751877,0.22470468,1.0029253,4.24E-06,0,3.87E-13,1.04E-06,
0.12071504,-0.98076069,1.0020283,0.87528336,0.22277766,1.0029382,0,0,4.08E-13,1.58E-06,
0.1425387,-0.98076069,1.0020434,0.87544477,0.22086489,1.0029451,1.30E-06,0,4.24E-13,1.19E-06,
0.16436234,-0.98076069,1.0020473,0.87569571,0.21896923,1.002951,0,1.53E-07,4.34E-13,2.20E-06,
0.18618599,-0.98076069,1.0020509,0.87600517,0.21709256,1.0029556,2.82E-06,7.45E-07,4.44E-13,-2.96E-07,
0.20800963,-0.98076069,1.0020517,0.87639779,0.21524702,1.0029587,9.05E-06,1.18E-08,4.59E-13,-9.43E-07,
0.22983329,-0.98076069,1.0020468,0.87686968,0.21342923,1.0029587,2.73E-07,8.09E-08,4.86E-13,1.76E-06,
0.25165692,-0.98076069,1.0020484,0.87739384,0.21164374,1.0029591,1.80E-06,8.69E-08,5.32E-13,1.08E-06,
0.27348059,-0.98076069,1.0020472,0.87798727,0.20989537,1.0029565,2.97E-06,1.49E-07,6.02E-13,4.48E-07,
0.29530424,-0.98076069,1.0020456,0.87863773,0.20818719,1.0029516,1.45E-06,0,6.94E-13,2.11E-07,
0.31712788,-0.98076069,1.0020425,0.8793456,0.20651944,1.0029334,7.43E-06,6.34E-07,7.99E-13,-7.59E-07,
0.33895153,-0.98076069,1.0020316,0.88011086,0.20489827,1.0029242,8.42E-06,6.18E-07,9.05E-13,-2.26E-06,
0.36077517,-0.98076069,1.0020264,0.88092697,0.20332378,1.0029187,6.00E-06,7.14E-07,1.01E-12,-1.16E-06,
0.38259882,-0.98076069,1.0020093,0.88179684,0.201801,1.0029004,3.33E-06,2.36E-07,1.10E-12,2.22E-06,
0.40442246,-0.98076069,1.0020028,0.88269442,0.20032507,1.0028812,1.62E-06,4.01E-08,1.20E-12,6.94E-07,
0.42624614,-0.98076069,1.001987,0.88364214,0.1989014,1.0028727,1.61E-06,3.00E-08,1.30E-12,1.55E-06,
0.44806978,-0.98076069,1.0019807,0.88461506,0.19752993,1.002843,8.60E-06,3.16E-07,1.40E-12,-4.97E-07,
0.46989343,-0.98076069,1.0019656,0.88562751,0.19621022,1.0028323,3.22E-06,1.38E-07,1.49E-12,-2.76E-08,
0.49171707,-0.98076069,1.0019511,0.886675,0.19494529,1.0028087,9.16E-07,4.45E-07,1.55E-12,1.01E-06,
0.51354074,-0.98076069,1.0019262,0.88774776,0.1937333,1.0027841,1.09E-06,0,1.56E-12,2.00E-06,
0.53536439,-0.98076069,1.0019171,0.88882798,0.1925732,1.0027639,1.02E-06,3.13E-07,1.53E-12,4.18E-07,
0.55718803,-0.98076069,1.0019004,0.88993073,0.19146483,1.0027381,4.12E-07,2.17E-07,1.45E-12,-3.21E-07,
0.57901168,-0.98076069,1.0018828,0.89105445,0.19041215,1.0027143,5.13E-07,9.47E-08,1.35E-12,6.35E-07,
0.60083532,-0.98076069,1.0018587,0.89218885,0.1894085,1.0026895,0,2.12E-09,1.22E-12,1.61E-06,
0.62265897,-0.98076069,1.0018505,0.89332473,0.18845353,1.002654,2.75E-06,3.70E-07,1.10E-12,-1.50E-06,
0.64448261,-0.98076069,1.0018303,0.89448106,0.18755065,1.0026376,1.45E-06,2.35E-07,9.92E-13,1.33E-06,
0.66630626,-0.98076069,1.001806,0.89563107,0.18669496,1.0026033,9.23E-06,6.58E-08,9.13E-13,2.99E-07,
0.6881299,-0.98076069,1.0017881,0.89678943,0.18588544,1.0025709,5.65E-07,1.32E-07,8.68E-13,3.95E-07,
0.70995355,-0.98076069,1.001771,0.89794934,0.18512344,1.0025522,3.12E-06,1.99E-07,8.58E-13,4.03E-07,
0.73177719,-0.98076069,1.0017502,0.89910692,0.18440405,1.0025148,3.69E-06,3.50E-07,8.77E-13,-3.73E-08,
0.75360084,-0.98076069,1.001726,0.90025634,0.1837299,1.0024873,6.93E-06,1.37E-08,9.18E-13,-1.97E-07,
