x,y,rho,u,v,p,uu,vv,ww,_uv
0.40869948,-1.0013034,1.0019664,0.88426775,0.20097482,1.0028334,1.34E-06,-2.59E-11,1.07E-12,1.69E-06
0.41955647,-1.0013034,1.0019579,0.88471425,0.20028253,1.002831,1.25E-06,-2.17E-11,1.12E-12,2.41E-06
0.18070266,-0.99108374,1.0020313,0.87684655,0.21776582,1.0029271,2.28E-06,7.76E-07,4.18E-13,-1.11E-06
0.19155966,-0.99108374,1.002033,0.87701809,0.21685636,1.0029293,1.10E-06,2.71E-07,4.23E-13,-1.68E-07
0.20241664,-0.99108374,1.0020347,0.87720019,0.21595298,1.0029314,9.12E-06,1.27E-08,4.29E-13,-1.63E-06
0.21327363,-0.99108374,1.0020269,0.87740517,0.21505705,1.0029291,4.42E-06,2.43E-09,4.37E-13,1.09E-06
0.22413063,-0.99108374,1.0020268,0.87763017,0.21416607,1.0029303,2.48E-07,1.02E-07,4.49E-13,1.45E-07
0.23498762,-0.99108374,1.0020279,0.87787491,0.21328475,1.0029316,4.71E-09,1.98E-08,4.64E-13,4.59E-06
0.2458446,-0.99108374,1.0020285,0.87812257,0.21241118,1.0029316,5.77E-07,1.94E-08,4.85E-13,3.65E-06
0.25670159,-0.99108374,1.0020286,0.87838578,0.21154568,1.0029328,2.08E-06,2.71E-08,5.10E-13,3.96E-07
0.26755857,-0.99108374,1.0020275,0.87867266,0.21069039,1.0029328,6.94E-07,2.46E-08,5.42E-13,1.47E-06
0.27841559,-0.99108374,1.0020275,0.87897503,0.20984243,1.0029318,5.85E-07,1.07E-07,5.80E-13,2.26E-06
0.28927258,-0.99108374,1.0020275,0.87928605,0.20900482,1.002929,1.86E-07,4.81E-08,6.23E-13,1.80E-06
0.30012956,-0.99108374,1.0020276,0.87960541,0.20817636,1.0029266,1.57E-06,0,6.69E-13,-6.16E-07
0.31098655,-0.99108374,1.0020275,0.87994128,0.20735647,1.0029087,1.54E-05,1.14E-06,7.18E-13,-2.59E-06
0.32184353,-0.99108374,1.0020236,0.88030577,0.20655122,1.0029069,1.26E-06,1.77E-07,7.68E-13,7.67E-07
0.33270052,-0.99108374,1.002021,0.8806653,0.20575437,1.0029042,1.77E-05,9.14E-07,8.18E-13,-3.53E-06
0.34355754,-0.99108374,1.0020125,0.88105536,0.20497209,1.0028979,4.19E-06,4.13E-07,8.68E-13,-5.89E-07
0.35441452,-0.99108374,1.0020114,0.88144857,0.20419891,1.0028964,2.86E-06,4.04E-07,9.16E-13,5.19E-07
0.36527151,-0.99108374,1.0020092,0.88184971,0.2034369,1.0028919,5.13E-06,5.25E-07,9.62E-13,-6.70E-07
0.37612849,-0.99108374,1.0019953,0.88227236,0.20268939,1.0028877,1.69E-06,8.30E-08,1.01E-12,3.80E-06
0.38698548,-0.99108374,1.0019913,0.88269985,0.20194806,1.0028661,2.36E-06,4.67E-07,1.05E-12,1.16E-06
0.39784247,-0.99108374,1.0019879,0.8831296,0.20122375,1.0028623,1.13E-06,1.03E-07,1.10E-12,-2.47E-07
0.40869948,-0.99108374,1.0019827,0.88357699,0.20051095,1.0028563,1.21E-06,2.75E-08,1.15E-12,1.50E-06
0.41955647,-0.99108374,1.0019739,0.88403618,0.19981024,1.0028535,1.11E-06,4.70E-08,1.19E-12,2.14E-06
0.43041345,-0.99108374,1.0019701,0.88450092,0.1991197,1.0028466,7.87E-07,9.37E-08,1.24E-12,1.01E-06
0.44127044,-0.99108374,1.001968,0.88496482,0.19844411,1.0028254,1.19E-05,2.18E-08,1.29E-12,-6.36E-07
0.45212743,-0.99108374,1.0019652,0.88544691,0.1977794,1.0028194,6.07E-06,5.31E-07,1.34E-12,-4.91E-07
0.46298441,-0.99108374,1.0019587,0.88593316,0.19712955,1.0028126,1.36E-05,1.60E-08,1.38E-12,-2.45E-06
0.47384143,-0.99108374,1.0019488,0.88643575,0.19649254,1.0028081,2.41E-06,6.71E-08,1.42E-12,6.15E-08
0.48469841,-0.99108374,1.0019449,0.88694274,0.19586594,1.0028002,5.96E-07,5.98E-07,1.45E-12,-4.95E-08
0.4955554,-0.99108374,1.0019302,0.88745713,0.1952541,1.0027797,8.14E-07,1.47E-07,1.47E-12,2.28E-06
0.50641239,-0.99108374,1.0019215,0.88797557,0.19465436,1.0027683,4.69E-08,0,1.48E-12,1.40E-06
0.51726937,-0.99108374,1.00191,0.88850123,0.19406854,1.002763,3.80E-07,0,1.48E-12,3.03E-06
0.52812636,-0.99108374,1.001906,0.88902432,0.19349384,1.0027567,4.62E-07,1.39E-07,1.47E-12,2.91E-06
0.53898335,-0.99108374,1.0019034,0.88955021,0.19293033,1.0027356,1.73E-07,4.42E-07,1.45E-12,-3.55E-07
0.54984033,-0.99108374,1.0018986,0.89008188,0.19237979,1.0027223,8.30E-06,3.34E-07,1.42E-12,-2.45E-06
0.56069732,-0.99108374,1.0018861,0.89062619,0.19184463,1.0027169,9.49E-07,2.13E-07,1.38E-12,-5.83E-07
0.57155436,-0.99108374,1.0018817,0.89117026,0.19132112,1.0027096,1.78E-06,2.27E-07,1.33E-12,-1.14E-06
0.58241135,-0.99108374,1.0018651,0.89172298,0.19081111,1.0026878,2.58E-07,3.74E-08,1.28E-12,1.70E-06
0.59326833,-0.99108374,1.0018564,0.89227152,0.19031185,1.0026757,0,0,1.22E-12,2.05E-06
0.60412532,-0.99108374,1.0018445,0.89282691,0.18982486,1.0026692,0,3.36E-09,1.16E-12,1.57E-06
0.61498231,-0.99108374,1.0018409,0.89337891,0.18934947,1.0026478,1.63E-07,9.09E-09,1.11E-12,5.00E-07
0.62583929,-0.99108374,1.0018377,0.89393306,0.18888433,1.0026337,2.46E-06,5.53E-07,1.05E-12,-2.24E-06
0.63669628,-0.99108374,1.0018291,0.89449632,0.18843518,1.0026288,6.42E-06,3.95E-07,9.98E-13,7.53E-07
0.64755327,-0.99108374,1.0018183,0.89505923,0.18799584,1.0026201,2.67E-06,4.29E-07,9.52E-13,1.58E-07
0.65841025,-0.99108374,1.001799,0.89562047,0.1875686,1.0025946,5.62E-06,9.92E-08,9.12E-13,-5.49E-07
0.66926724,-0.99108374,1.0017942,0.89618218,0.18715328,1.0025851,8.06E-06,1.26E-07,8.79E-13,-3.42E-07
0.68012422,-0.99108374,1.0017837,0.89675426,0.18674977,1.0025768,5.42E-07,8.19E-08,8.53E-13,3.11E-06
0.69098121,-0.99108374,1.0017763,0.89731318,0.18635435,1.0025511,4.17E-07,1.92E-07,8.36E-13,5.81E-08
0.70183825,-0.99108374,1.0017724,0.89787364,0.18597235,1.0025419,8.66E-06,1.73E-07,8.27E-13,-2.28E-06
0.71269524,-0.99108374,1.0017582,0.89844763,0.18560098,1.002537,1.69E-07,2.62E-07,8.25E-13,1.39E-06
0.72355223,-0.99108374,1.0017527,0.89900452,0.18523982,1.0025189,1.23E-05,3.76E-07,8.31E-13,-1.83E-06
0.73440921,-0.99108374,1.0017364,0.89957684,0.18488938,1.0024978,1.50E-06,2.36E-07,8.43E-13,6.38E-07
0.7452662,-0.99108374,1.0017258,0.90013409,0.18455248,1.0024921,8.44E-06,1.72E-08,8.60E-13,1.69E-06
0.75612319,-0.99108374,1.0017146,0.90069711,0.18422101,1.0024675,7.87E-06,3.04E-09,8.82E-13,-6.02E-07
0.76698017,-0.99108374,1.001711,0.90126234,0.18390086,1.002457,9.04E-06,1.66E-07,9.08E-13,6.71E-08
0.77783716,-0.99108374,1.0017062,0.90181017,0.18358868,1.0024494,2.33E-05,9.02E-07,9.35E-13,-3.48E-06
0.78869414,-0.99108374,1.0016924,0.90237552,0.18329042,1.002432,1.36E-05,1.88E-07,9.64E-13,-2.51E-06
0.79955113,-0.99108374,1.0016723,0.90294909,0.18300107,1.0024101,3.82E-07,5.75E-09,9.92E-13,3.30E-06
0.81040812,-0.99108374,1.001668,0.90349573,0.18271926,1.0024055,4.32E-06,5.91E-08,1.02E-12,2.27E-06
0.82126516,-0.99108374,1.0016536,0.90404737,0.18244725,1.0023928,2.25E-07,1.74E-09,1.04E-12,1.88E-06
0.83212215,-0.99108374,1.0016488,0.90460306,0.18218201,1.0023669,8.91E-09,1.03E-07,1.05E-12,7.03E-07
0.84297913,-0.99108374,1.0016453,0.90513903,0.18192743,1.0023613,1.80E-05,3.59E-07,1.07E-12,-2.18E-06
0.093846731,-0.98086393,1.0020207,0.87518966,0.22515127,1.002923,4.09E-06,1.78E-07,3.81E-13,2.80E-07
0.10470372,-0.98086393,1.0020241,0.87521565,0.22419158,1.0029272,1.41E-06,0,3.93E-13,2.83E-06
0.11556071,-0.98086393,1.002027,0.87526023,0.22323202,1.0029356,5.38E-08,0,4.04E-13,1.23E-06
0.1264177,-0.98086393,1.0020295,0.87533265,0.22227716,1.0029399,0,0,4.13E-13,2.40E-06
0.1372747,-0.98086393,1.0020422,0.87540287,0.22132531,1.0029432,2.82E-06,0,4.20E-13,-1.40E-07
0.14813168,-0.98086393,1.0020442,0.87551165,0.22037831,1.0029464,1.13E-07,1.06E-07,4.26E-13,1.86E-06
0.15898867,-0.98086393,1.0020462,0.87563819,0.21943429,1.0029494,0,5.32E-07,4.32E-13,5.62E-07
0.16984567,-0.98086393,1.002048,0.87577713,0.21849795,1.002952,3.36E-07,2.31E-07,4.36E-13,1.45E-06
0.18070266,-0.98086393,1.0020498,0.87593126,0.21756406,1.0029541,1.80E-06,7.08E-07,4.41E-13,-8.47E-07
0.19155966,-0.98086393,1.0020514,0.8761096,0.21663882,1.0029563,1.31E-06,3.46E-07,4.47E-13,2.11E-07
0.20241664,-0.98086393,1.0020528,0.87630218,0.21572024,1.0029583,6.89E-06,9.61E-09,4.54E-13,-8.06E-07
0.21327363,-0.98086393,1.0020471,0.87651426,0.21480875,1.0029569,4.77E-06,3.76E-09,4.64E-13,8.16E-07
0.22413063,-0.98086393,1.002046,0.87674695,0.21390341,1.0029576,7.97E-07,8.11E-08,4.77E-13,3.03E-07
0.23498762,-0.98086393,1.0020472,0.87699997,0.21300651,1.0029589,1.36E-08,6.63E-08,4.95E-13,3.75E-06
0.2458446,-0.98086393,1.0020478,0.87725866,0.21211877,1.0029584,4.40E-07,5.24E-08,5.17E-13,3.71E-06
0.25670159,-0.98086393,1.002048,0.87753171,0.21123914,1.0029594,2.16E-06,8.30E-08,5.46E-13,6.55E-08
0.26755857,-0.98086393,1.0020467,0.87782788,0.21037054,1.0029589,1.63E-06,5.15E-08,5.80E-13,1.02E-06
0.27841559,-0.98086393,1.0020462,0.87814122,0.20950946,1.0029562,1.66E-06,1.43E-07,6.21E-13,1.68E-06
0.28927258,-0.98086393,1.0020454,0.87846398,0.2086591,1.0029535,3.95E-07,5.08E-08,6.67E-13,1.67E-06
0.30012956,-0.98086393,1.0020454,0.87879461,0.20781827,1.0029509,3.19E-06,0,7.16E-13,-7.62E-07
0.31098655,-0.98086393,1.0020452,0.87914228,0.20698637,1.0029359,1.39E-05,1.03E-06,7.68E-13,-2.48E-06
