x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
-44.4022;11.5088;6.90004;0.544858;0.00768063;0.000749785;0.00775649
-44.0456;11.5088;6.90332;0.547079;0.0083262;0.000813285;0.00627831
-43.6891;11.5088;6.9149;0.549997;0.0085767;0.00200353;0.00552703
-43.3325;11.5088;6.92459;0.556886;0.00778838;0.00162038;0.00485629
-42.9759;11.5088;6.92725;0.568791;0.00797306;0.00127326;0.00447901
-42.6193;11.5088;6.92576;0.56889;0.00764012;0.000832447;0.00348844
-44.7588;11.1522;6.90565;0.54349;0.00690129;0.00115741;0.00447292
-44.4022;11.1522;6.9044;0.548826;0.00334694;0.000545831;0.00198937
-44.0456;11.1522;6.90708;0.55362;0.00325873;0.000405828;0.00167089
-43.6891;11.1522;6.91188;0.55847;0.00306794;0.000476938;0.00163781
-43.3325;11.1522;6.91501;0.567518;0.00325614;0.000301295;0.00155851
-42.9759;11.1522;6.91769;0.573301;0.00389813;0.000410123;0.00151599
-42.6193;11.1522;6.9167;0.577316;0.00364406;0.000527149;0.00140865
-42.2627;11.1522;6.91583;0.584427;0.00388296;0.000422195;0.00134705
-41.9061;11.1522;6.92275;0.591746;0.00396345;0.000543;0.00148594
-41.5495;11.1522;6.92822;0.596813;0.00410602;0.000581308;0.00126294
-41.1929;11.1522;6.926;0.598477;0.00412674;0.000300793;0.00102954
-40.8364;11.1522;6.93056;0.595694;0.00376203;0.000230782;0.00103361
-40.4798;11.1522;6.93184;0.594885;0.0036601;0.000362946;0.00137217
-40.1232;11.1522;6.93339;0.599041;0.0038619;0.000418216;0.00155114
-39.7666;11.1522;6.93053;0.602164;0.00338038;0.000507717;0.00193718
-39.41;11.1522;6.92802;0.601065;0.00327292;0.000383593;0.00205016
-39.0534;11.1522;6.93027;0.601759;0.00284916;4.91237e-05;0.00204824
-38.6968;11.1522;6.92986;0.609377;0.00253325;0.000150003;0.00174176
-38.3402;11.1522;6.92675;0.618244;0.00279494;0.000309768;0.00160128
-37.9837;11.1522;6.91801;0.626266;0.00334293;0.000363921;0.00160179
-37.6271;11.1522;6.91484;0.631461;0.00397605;8.05747e-05;0.00131251
-37.2705;11.1522;6.92268;0.633506;0.00400862;3.84495e-05;0.00119231
-36.9139;11.1522;6.92412;0.638504;0.00307415;-1.62207e-05;0.00112957
-36.5573;11.1522;6.9239;0.642155;0.00246905;-5.20864e-05;0.00100074
-36.2007;11.1522;6.92065;0.64769;0.00245632;4.95667e-05;0.000990365
-35.8441;11.1522;6.91758;0.654941;0.00240674;-3.51734e-05;0.00116241
-35.4876;11.1522;6.91727;0.657559;0.00289416;-2.05168e-05;0.00114488
-35.131;11.1522;6.92248;0.658069;0.00270372;-5.44136e-05;0.00111092
-34.7744;11.1522;6.93164;0.659849;0.003579;5.42989e-05;0.000993187
-34.4178;11.1522;6.93747;0.661462;0.00403085;8.31406e-05;0.000809633
-34.0612;11.1522;6.94354;0.665317;0.0039107;-0.000123945;0.000812556
-33.7046;11.1522;6.95356;0.666126;0.00389576;2.2067e-05;0.000765787
-33.348;11.1522;6.96397;0.666352;0.00398784;7.04309e-05;0.00076733
-32.9914;11.1522;6.96249;0.668013;0.00386714;-6.46224e-05;0.00090918
-32.6349;11.1522;6.95573;0.673349;0.00494637;-0.000261306;0.00112679
-32.2783;11.1522;6.95568;0.677333;0.00473546;-0.000402733;0.00113978
-31.9217;11.1522;6.95177;0.677487;0.00417003;-0.000430058;0.0008892
-31.5651;11.1522;6.94895;0.675749;0.0033211;-0.000460848;0.000852359
-31.2085;11.1522;6.95024;0.675624;0.00379482;-0.000323317;0.000905086
-30.8519;11.1522;6.95238;0.67407;0.00366945;-0.000186314;0.00100777
-30.4953;11.1522;6.95758;0.674015;0.002945;-0.000145566;0.000923002
-30.1387;11.1522;6.96259;0.678457;0.00253843;-0.000197554;0.000855156
-29.7822;11.1522;6.95954;0.684786;0.00240983;-0.000196437;0.000821146
-29.4256;11.1522;6.95632;0.691482;0.00229689;-0.000217705;0.000638612
-29.069;11.1522;6.96158;0.693882;0.00229315;-0.000247696;0.000618789
-28.7124;11.1522;6.97664;0.691862;0.00223029;-6.30957e-05;0.000775593
