x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2]
41.2119;11.8045;4.40683;0.182063;0.000971554;0.000740852;0.000931266
41.569;11.8045;4.41926;0.283784;0.00156905;-0.000264493;0.00415729
41.9261;11.8045;4.43435;0.276803;0.00122058;-0.00030466;0.00311787
42.2833;11.8045;4.44375;0.261764;0.00139502;0.000469421;0.00258488
42.6404;11.8045;4.46054;0.251438;0.00106161;0.000116892;0.00255397
42.9975;11.8045;4.47041;0.24616;0.00152947;-0.0001986;0.00288235
43.3546;11.8045;4.47262;0.2409;0.00156068;-0.000168257;0.00270561
43.7117;11.8045;4.46674;0.238546;0.00189808;-0.000103202;0.0036304
44.0689;11.8045;4.46434;0.248142;0.00345254;0.000313341;0.00271116
44.426;11.8045;4.47658;0.256172;0.00344184;-0.000132845;0.00336003
44.7831;11.8045;4.47615;0.258465;0.0027171;-0.00140068;0.00491651
45.1402;11.8045;4.4788;0.255192;0.00121686;-0.0008008;0.00783384
45.4973;11.8045;4.47668;0.243217;0.00189551;0.000341769;0.00697945
-44.8536;11.4474;3.93422;0.282577;0.00885098;0.00419723;0.00925134
-44.4965;11.4474;3.88183;0.271331;0.0103867;0.00374159;0.00591669
-44.1394;11.4474;3.86241;0.293294;0.0182427;0.00653063;0.00631314
-43.7823;11.4474;3.8866;0.330562;0.0129344;0.00399028;0.0090198
-43.4251;11.4474;3.91931;0.342036;0.00454883;0.000741011;0.00590747
-43.068;11.4474;3.91094;0.330567;0.010036;0.00589372;0.0119739
-42.7109;11.4474;3.88988;0.332357;0.0116614;0.00744991;0.0122549
-42.3538;11.4474;3.87312;0.346381;0.0134774;0.00742994;0.0147339
-41.9967;11.4474;3.91068;0.378601;0.0141384;0.00438464;0.0114727
-41.6396;11.4474;3.92873;0.373221;0.0140442;0.00745831;0.0124839
-41.2824;11.4474;3.9202;0.358216;0.00963237;0.00918593;0.0137607
-40.9253;11.4474;3.90435;0.324707;0.00781363;0.00620645;0.0132798
-40.5682;11.4474;3.89124;0.318861;0.00578754;0.00175378;0.00867601
-40.2111;11.4474;3.89302;0.331505;0.00655422;0.00327516;0.0073117
-39.854;11.4474;3.89299;0.340316;0.00853728;0.00324373;0.00917774
-39.4968;11.4474;3.90322;0.34883;0.00686802;0.00226537;0.00637168
-39.1397;11.4474;3.91645;0.353889;0.0074262;0.00205354;0.00492546
-38.7826;11.4474;3.92257;0.359685;0.0100392;0.00105404;0.0065215
-38.4255;11.4474;3.90624;0.37795;0.0134191;0.00233848;0.00578726
-38.0684;11.4474;3.88251;0.376744;0.0126039;0.00154851;0.00565148
-37.7113;11.4474;3.86267;0.375129;0.00969204;0.00270499;0.00748911
-37.3541;11.4474;3.86084;0.370853;0.0152054;0.00106469;0.00993364
-36.997;11.4474;3.92236;0.373898;0.0131867;0.000371216;0.00638314
-36.6399;11.4474;3.94657;0.387981;0.0199632;0.00117744;0.00728328
-36.2828;11.4474;3.94004;0.386508;0.0126025;0.00436427;0.0108319
-35.9257;11.4474;3.90488;0.412267;0.00638519;0.00642153;0.01208
-35.5685;11.4474;3.90705;0.42313;0.00610892;0.00291609;0.0140665
-35.2114;11.4474;3.88346;0.425169;0.0111202;-0.00332;0.0105623
-34.8543;11.4474;3.86588;0.445992;0.00822212;-0.0024755;0.00969479
-34.4972;11.4474;3.85307;0.458654;0.00564455;-0.00253842;0.00767704
-34.1401;11.4474;3.84839;0.43687;0.00764924;-0.00399935;0.00650168
-33.783;11.4474;3.86231;0.433911;0.00930653;-0.00337863;0.0105064
-33.4258;11.4474;3.87061;0.420308;0.00925956;-0.00239717;0.00667335
-33.0687;11.4474;3.88103;0.404848;0.00920931;-0.00233759;0.00385678
-32.7116;11.4474;3.88742;0.405047;0.0111762;-0.000128492;0.00503528
-32.3545;11.4474;3.90645;0.411849;0.0118455;0.000713427;0.00543146
-31.9974;11.4474;3.91091;0.41512;0.0085716;0.000898073;0.00647776
-31.6402;11.4474;3.89993;0.43543;0.00898103;0.00268558;0.00599875
-31.2831;11.4474;3.84737;0.45196;0.0138848;-0.00169686;0.00416996
-30.926;11.4474;3.82235;0.45994;0.00496254;-0.00167753;0.00701668
-30.5689;11.4474;3.83344;0.462566;0.00465105;-0.00280475;0.00654767
-30.2118;11.4474;3.88889;0.462445;0.00459362;-0.00147345;0.00632163
-29.8546;11.4474;3.93683;0.465564;0.00704742;0.000598727;0.00722016
-29.4975;11.4474;3.91831;0.465367;0.0062623;-5.28043e-05;0.00659481
-29.1404;11.4474;3.88749;0.463314;0.00669982;-0.00106165;0.00461806
-28.7833;11.4474;3.86855;0.464878;0.00994571;0.000291139;0.00221258
-28.4262;11.4474;3.87498;0.477882;0.013081;-0.000197035;0.00279678
-28.0691;11.4474;3.88777;0.485264;0.0117665;-0.00196085;0.00425356
-27.7119;11.4474;3.89878;0.495432;0.0119505;-0.00359912;0.00568446
-27.3548;11.4474;3.91263;0.494393;0.00973661;-0.00319619;0.00523746
-26.9977;11.4474;3.92998;0.503707;0.0144145;-0.00504627;0.00579745
-26.6406;11.4474;3.92355;0.493008;0.0137036;-0.00161933;0.00663365
-26.2835;11.4474;3.91741;0.486999;0.0115464;0.00120694;0.0058288
-25.9263;11.4474;3.91826;0.486036;0.00742928;4.14193e-05;0.00352204
-25.5692;11.4474;3.93305;0.445952;0.00848242;-0.0026494;0.00693662
-25.2121;11.4474;3.94354;0.437417;0.00672653;-0.00167735;0.00756102
-24.855;11.4474;3.9371;0.440787;0.00594197;-0.000893906;0.00508011
-24.4979;11.4474;3.9405;0.447397;0.00345372;-0.000633234;0.00408551
-24.1408;11.4474;3.94302;0.467221;0.00218172;-0.00019574;0.00552973
-23.7836;11.4474;3.93345;0.483933;0.00477239;-0.000946111;0.0074138
-23.4265;11.4474;3.96131;0.450559;0.00641893;0.00105617;0.00634932
-23.0694;11.4474;3.96839;0.462541;0.00617267;-0.000343696;0.00969217
-22.7123;11.4474;3.97955;0.490217;0.00449024;-0.00137496;0.0080435
-22.3552;11.4474;3.97826;0.507731;0.0042837;-0.00096073;0.00661089
-21.998;11.4474;3.97884;0.504472;0.00397937;-0.00040029;0.00705222
-21.6409;11.4474;3.99238;0.510108;0.00456119;0.000529023;0.0104901
-21.2838;11.4474;4.00049;0.51736;0.00410135;0.00241304;0.00898869
-20.9267;11.4474;4.00153;0.508084;0.00499369;0.00351378;0.00865617
-20.5696;11.4474;4.00912;0.509369;0.00667394;0.00426669;0.0102599
-20.2125;11.4474;4.00899;0.512458;0.00719259;0.00462949;0.00762188
-19.8553;11.4474;3.99938;0.512206;0.00528245;0.00216621;0.00526954
-19.4982;11.4474;4.01089;0.512734;0.00576507;0.000457477;0.00349834
-19.1411;11.4474;4.01671;0.495371;0.00478702;-0.000773769;0.00216537
-18.784;11.4474;4.0061;0.474544;0.00438061;-0.000261445;0.00329832
-18.4269;11.4474;4.0066;0.461823;0.00268862;0.000128805;0.00267539
-18.0697;11.4474;4.00872;0.45847;0.00163864;0.000211295;0.00177872
-17.7126;11.4474;4.01438;0.463123;0.00524788;-0.000862243;0.00192276
-17.3555;11.4474;4.01518;0.463471;0.00500478;-0.000563344;0.00142138
-16.9984;11.4474;4.01232;0.466841;0.00521171;5.24238e-05;0.00124746
-16.6413;11.4474;3.99838;0.468564;0.00427226;0.00053435;0.00123044
-16.2842;11.4474;3.97186;0.473514;0.00237222;5.12061e-05;0.00355415
-15.927;11.4474;3.97694;0.467494;0.0020546;-0.000724807;0.0064499
-15.5699;11.4474;3.99263;0.45138;0.00180534;-0.000295014;0.00794801
-15.2128;11.4474;4.01517;0.456278;0.00220349;-0.000355525;0.0084681
-14.8557;11.4474;4.02547;0.466689;0.00548963;0.00121631;0.0103458
-14.4986;11.4474;4.01763;0.463662;0.00712448;0.00370002;0.0100495
-14.1414;11.4474;4.0123;0.456315;0.00650278;0.00424992;0.00814782
-13.7843;11.4474;4.00598;0.453532;0.00374634;0.00128806;0.00400434
-13.4272;11.4474;4.01828;0.478155;0.00274233;-0.00185688;0.00834063
-13.0701;11.4474;4.01677;0.495917;0.0021839;-0.00184597;0.0116391
-12.713;11.4474;4.01761;0.481591;0.00221179;-0.000460061;0.00793709
-12.3558;11.4474;4.01832;0.47189;0.00251914;-0.000563889;0.00463854
-11.9987;11.4474;4.02771;0.473712;0.0033396;-0.000808129;0.00358887
-11.6416;11.4474;4.0273;0.486273;0.00599934;-0.00250448;0.0044311
-11.2845;11.4474;4.01332;0.495096;0.00599896;-0.00205054;0.00287482
-10.9274;11.4474;4.04454;0.481484;0.00461529;-0.000570389;0.00250209
-10.5703;11.4474;4.08929;0.465239;0.00593115;-0.000194278;0.00270201
-10.2131;11.4474;4.10463;0.462213;0.00652741;0.000553096;0.00250507
-9.85602;11.4474;4.10498;0.468945;0.00468199;0.000583156;0.003675
-9.4989;11.4474;4.0827;0.474265;0.0027182;0.000131233;0.00278576
-9.14178;11.4474;4.04237;0.476722;0.00539762;-0.000973762;0.00250624
-8.78466;11.4474;4.03133;0.486498;0.00702516;-0.000326553;0.00502823
-8.42755;11.4474;4.0386;0.482544;0.00495505;-8.13306e-05;0.00722134
-8.07043;11.4474;4.05544;0.48872;0.00360107;0.00192613;0.00656256
-7.71331;11.4474;4.08245;0.502299;0.0032585;0.00180562;0.00649243
-7.35619;11.4474;4.07322;0.497856;0.00310934;0.00126729;0.00656468
-6.99907;11.4474;4.06938;0.500387;0.00343412;0.00222079;0.00640875
-6.64195;11.4474;4.0917;0.509425;0.00359643;0.00215234;0.00548984
-6.28484;11.4474;4.11768;0.517946;0.00284893;0.000962885;0.00399818
-5.92772;11.4474;4.11841;0.516635;0.00365201;0.00164021;0.00378891
-5.5706;11.4474;4.09593;0.502292;0.00498402;0.00397352;0.0066392
-5.21348;11.4474;4.08437;0.473773;0.00475544;0.00377808;0.0113903
-4.85636;11.4474;4.09075;0.461274;0.00282739;0.00274013;0.0105012
-4.49924;11.4474;4.09869;0.477671;0.00237565;0.00271066;0.00872006
-4.14212;11.4474;4.10539;0.506315;0.00224399;-3.59349e-05;0.00660735
-3.78501;11.4474;4.10756;0.519352;0.00314442;0.000392451;0.00704195
-3.42789;11.4474;4.10863;0.508859;0.00325026;0.00112212;0.0064509
-3.07077;11.4474;4.12364;0.504636;0.00165529;0.000832463;0.00423857
-2.71365;11.4474;4.13708;0.493506;0.00263301;0.00148418;0.00349255
-2.35653;11.4474;4.13976;0.485785;0.00539914;0.00155372;0.00335381
-1.99941;11.4474;4.1424;0.47938;0.00666542;-0.000264327;0.00249106
-1.6423;11.4474;4.13363;0.482215;0.00529591;-0.000476267;0.00177781
-1.28518;11.4474;4.12008;0.495332;0.00320563;6.65356e-05;0.00185259
-0.928059;11.4474;4.127;0.511993;0.00273027;0.000126621;0.00213925
-0.570941;11.4474;4.15638;0.519021;0.00663218;-0.00104858;0.002591
-0.213822;11.4474;4.17284;0.524328;0.00765953;-0.00239637;0.00384159
0.143296;11.4474;4.17763;0.510277;0.0027488;-0.00165318;0.00585249
0.500414;11.4474;4.18496;0.49626;0.00202588;0.00132164;0.00984183
0.857533;11.4474;4.18381;0.503405;0.00246231;0.00196711;0.00904299
1.21465;11.4474;4.17791;0.515195;0.00264249;0.00118829;0.00549226
1.57177;11.4474;4.16425;0.51308;0.00248303;0.00240928;0.00476233
1.92889;11.4474;4.14555;0.502939;0.00279686;0.00202902;0.00484871
2.28601;11.4474;4.13377;0.486412;0.00226336;0.00108035;0.00695618
2.64312;11.4474;4.14217;0.478776;0.00181751;0.000758932;0.00806149
3.00024;11.4474;4.15204;0.464785;0.00333889;0.00278225;0.00754478
3.35736;11.4474;4.14851;0.451393;0.00354423;0.00147024;0.0044452
3.71448;11.4474;4.13181;0.441562;0.00469284;0.00101207;0.00392569
4.0716;11.4474;4.1262;0.433096;0.00569526;0.00145846;0.00396967
4.42872;11.4474;4.14915;0.440645;0.00353268;0.00157107;0.00356532
4.78584;11.4474;4.16216;0.443923;0.00363258;0.00130465;0.00360334
5.14295;11.4474;4.15997;0.440178;0.00250404;-7.841e-05;0.00320694
5.50007;11.4474;4.14587;0.445813;0.00311405;-0.000827797;0.00349523
5.85719;11.4474;4.16046;0.450363;0.00293315;-0.00034082;0.0037307
6.21431;11.4474;4.18989;0.450169;0.00468243;-0.000225856;0.00337601
6.57143;11.4474;4.21068;0.452569;0.00561208;-0.000587963;0.00217175
6.92855;11.4474;4.2247;0.459703;0.00334386;-0.00135289;0.00262884
7.28566;11.4474;4.21562;0.453376;0.00425337;-0.00140164;0.00473043
7.64278;11.4474;4.21314;0.450459;0.0058794;-9.37556e-05;0.00660589
7.9999;11.4474;4.21413;0.447972;0.00536581;-0.000268368;0.0048136
8.35702;11.4474;4.21817;0.437497;0.00385223;0.000319557;0.00437952
8.71414;11.4474;4.20336;0.43581;0.00327696;0.000278351;0.00482464
9.07126;11.4474;4.19508;0.417393;0.00271711;-0.00119695;0.00483919
9.42837;11.4474;4.20527;0.416234;0.00409948;-0.000103857;0.00688123
9.78549;11.4474;4.22399;0.416995;0.00397359;0.000313111;0.00498412
10.1426;11.4474;4.2287;0.439355;0.00554351;0.00064017;0.0021043
10.4997;11.4474;4.21438;0.453854;0.00551282;-0.000449376;0.00251518
10.8568;11.4474;4.21535;0.459286;0.00430534;-0.00100827;0.00244154
11.214;11.4474;4.21606;0.450307;0.0121645;-0.000384649;0.00286128
11.5711;11.4474;4.19704;0.442095;0.0116393;0.000268517;0.00278282
11.9282;11.4474;4.20043;0.433895;0.00745179;-3.91817e-05;0.00328233
12.2853;11.4474;4.21406;0.425073;0.00618361;-0.000415053;0.00549887
12.6424;11.4474;4.21714;0.420752;0.00415484;-0.000954939;0.00472912
12.9996;11.4474;4.22837;0.40718;0.00423244;-0.00019966;0.00398553
13.3567;11.4474;4.24325;0.392315;0.0037692;0.000202025;0.00485524
13.7138;11.4474;4.25264;0.39881;0.00363626;0.000166748;0.00426712
14.0709;11.4474;4.24076;0.416921;0.00351657;0.000325127;0.00322697
14.428;11.4474;4.23693;0.431888;0.00592647;0.000836807;0.00250994
14.7852;11.4474;4.23841;0.413527;0.00463451;0.000415676;0.0037897
15.1423;11.4474;4.23955;0.40571;0.00371523;0.000202476;0.00568597
15.4994;11.4474;4.23723;0.408533;0.00298077;-0.000245451;0.00957655
15.8565;11.4474;4.23478;0.422221;0.00197933;0.000188853;0.0113914
16.2136;11.4474;4.23496;0.418534;0.00158301;0.00182969;0.0122061
16.5707;11.4474;4.23213;0.418195;0.00344002;0.00282504;0.0104731
16.9279;11.4474;4.23563;0.401797;0.00600834;0.000594847;0.00539431
17.285;11.4474;4.24344;0.39652;0.00599204;-0.00134349;0.00301427
17.6421;11.4474;4.25362;0.390609;0.00363836;0.000120515;0.00150024
17.9992;11.4474;4.24828;0.371068;0.00190528;0.00102428;0.00292499
18.3563;11.4474;4.24407;0.353645;0.00121154;2.92173e-05;0.00354058
18.7135;11.4474;4.24319;0.350854;0.00170392;-0.000210037;0.00159803
19.0706;11.4474;4.23629;0.350823;0.00179474;-0.000142515;0.00140137
19.4277;11.4474;4.22172;0.356797;0.00177054;-0.000388628;0.0025459
19.7848;11.4474;4.20986;0.364827;0.00273175;-0.000408209;0.00394977
20.1419;11.4474;4.21783;0.373557;0.00501713;-7.31604e-05;0.00723382
20.499;11.4474;4.23287;0.373603;0.00497257;-0.000659313;0.00645708
20.8562;11.4474;4.22941;0.360226;0.00405615;-0.00212344;0.00361284
21.2133;11.4474;4.23519;0.356286;0.00267059;-0.00167852;0.00477258
21.5704;11.4474;4.26386;0.349046;0.00241316;-0.000427302;0.00288631
21.9275;11.4474;4.28178;0.342612;0.00399499;-0.000197349;0.00354818
22.2846;11.4474;4.28159;0.342978;0.00580366;-0.00367097;0.00637038
22.6418;11.4474;4.28166;0.363747;0.00696156;-0.00542731;0.0076264
22.9989;11.4474;4.27602;0.370356;0.0056857;-0.00562709;0.0096892
23.356;11.4474;4.26694;0.363086;0.00426839;-0.00432371;0.00979848
23.7131;11.4474;4.26149;0.331964;0.00359634;-0.00312993;0.0109061
24.0702;11.4474;4.26407;0.311478;0.00331396;-0.0033096;0.0116837
24.4273;11.4474;4.26773;0.330659;0.00211514;-0.00192988;0.0102886
24.7845;11.4474;4.27207;0.338873;0.00159618;-0.000233613;0.00592834
25.1416;11.4474;4.27711;0.325538;0.0019795;-0.000534589;0.00845968
25.4987;11.4474;4.28531;0.304454;0.00121499;-0.000528672;0.00496937
25.8558;11.4474;4.28555;0.309119;0.00090375;0.000689636;0.00290171
26.2129;11.4474;4.28102;0.318608;0.00124307;0.000396115;0.00289876
26.5701;11.4474;4.28632;0.323048;0.00144257;-0.000995542;0.00392448
26.9272;11.4474;4.29501;0.327394;0.00173442;-0.0016084;0.00577164
27.2843;11.4474;4.30059;0.335502;0.00239021;-0.00102414;0.00392918
27.6414;11.4474;4.30658;0.335768;0.00302375;-0.000223928;0.00257112
27.9985;11.4474;4.30161;0.32709;0.00239366;5.14298e-05;0.0025694
28.3556;11.4474;4.28458;0.313964;0.00172529;-0.000151196;0.00316144
28.7128;11.4474;4.27542;0.315488;0.00183169;-0.000474873;0.00422406
29.0699;11.4474;4.2895;0.309352;0.00276569;0.000147267;0.00388421
29.427;11.4474;4.29508;0.301273;0.00196639;-0.000316863;0.00312138
29.7841;11.4474;4.30385;0.301806;0.00136812;-8.62326e-05;0.00228828
30.1412;11.4474;4.31467;0.297267;0.00109543;0.000215273;0.00239314
30.4984;11.4474;4.3139;0.274702;0.00132594;0.000370484;0.00371794
30.8555;11.4474;4.30829;0.260941;0.00189765;0.000195299;0.00435025
31.2126;11.4474;4.3071;0.257046;0.00127865;8.24025e-05;0.00385176
31.5697;11.4474;4.32495;0.244419;0.00122963;0.000172544;0.00364824
31.9268;11.4474;4.32743;0.240933;0.0012155;-0.000411088;0.00346059
32.284;11.4474;4.31861;0.240582;0.0014814;-6.67026e-05;0.00475324
32.6411;11.4474;4.31294;0.242889;0.00227661;0.000432697;0.00418311
32.9982;11.4474;4.31181;0.263581;0.00220497;-0.000105021;0.00197293
33.3553;11.4474;4.30945;0.279601;0.00189353;0.000577953;0.00232241
33.7124;11.4474;4.3127;0.276227;0.00173818;0.000916173;0.00316302
