x [mm];y [mm];Velocity u [m/s];Velocity v [m/s];Reynolds stress Rxx [(m/s)^2];Reynolds stress Rxy [(m/s)^2];Reynolds stress Ryy [(m/s)^2];Uncertainty V [m/s]
41.2119;11.8045;4.39454;0.205317;0.00124496;0.000332931;0.0016298;0.00893613
41.569;11.8045;4.4092;0.299332;0.00231262;0.000401128;0.00612832;0.00530438
41.9261;11.8045;4.42396;0.294349;0.0022951;4.35136e-05;0.00521102;0.00500204
42.2833;11.8045;4.43364;0.282124;0.00222837;-0.000343223;0.00488726;0.00487019
42.6404;11.8045;4.43963;0.266122;0.00209727;-0.000500334;0.00444098;0.00466842
42.9975;11.8045;4.44704;0.258434;0.00220584;-0.000517769;0.00431231;0.00466124
43.3546;11.8045;4.45197;0.255115;0.00285242;-0.000493383;0.00433131;0.00489344
43.7117;11.8045;4.45512;0.254015;0.00308236;-0.000591594;0.00426756;0.00494972
44.0689;11.8045;4.45845;0.252369;0.00305757;-0.000519811;0.0043735;0.00497697
44.426;11.8045;4.46516;0.253026;0.00295749;-0.000462191;0.00483971;0.00509811
44.7831;11.8045;4.47219;0.255037;0.0030948;-0.000259704;0.00506997;0.00521688
45.1402;11.8045;4.47103;0.252824;0.00303924;-0.000305361;0.00530101;0.00527265
45.4973;11.8045;4.46804;0.2501;0.00324981;-0.000469134;0.00514088;0.00528857
-44.8536;11.4474;3.91605;0.300372;0.00847317;0.00367116;0.0103639;0.00799091
-44.4965;11.4474;3.91523;0.310863;0.00838254;0.00342337;0.00798684;0.00746178
-44.1394;11.4474;3.91042;0.331404;0.0116666;0.00396267;0.008357;0.00819714
-43.7823;11.4474;3.9001;0.3293;0.0115697;0.00365632;0.00806629;0.0081448
-43.4251;11.4474;3.89129;0.325582;0.0125026;0.00563226;0.00976305;0.0086439
-43.068;11.4474;3.88635;0.330549;0.0137925;0.00589067;0.01106;0.00913224
-42.7109;11.4474;3.88045;0.335673;0.0134801;0.00552258;0.010802;0.00905728
-42.3538;11.4474;3.88372;0.342106;0.0148935;0.00731018;0.0127064;0.00965623
-41.9967;11.4474;3.8874;0.341935;0.0150533;0.00786268;0.0131268;0.00977373
-41.6396;11.4474;3.88984;0.338208;0.0121367;0.00726648;0.0119205;0.00900005
-41.2824;11.4474;3.89043;0.339336;0.010944;0.00739015;0.0121683;0.00882152
-40.9253;11.4474;3.89094;0.342641;0.0114243;0.00711523;0.0130042;0.00903884
-40.5682;11.4474;3.88248;0.342257;0.00992879;0.00607456;0.0118202;0.00854301
-40.2111;11.4474;3.87955;0.348585;0.00764873;0.0048166;0.0105783;0.00782077
-39.854;11.4474;3.87594;0.34918;0.00686314;0.00330459;0.00896537;0.00726372
-39.4968;11.4474;3.87875;0.347898;0.00802824;0.00212121;0.00768008;0.00723609
-39.1397;11.4474;3.88403;0.35401;0.00811583;0.00109394;0.00592707;0.00686468
-38.7826;11.4474;3.89052;0.362323;0.00851397;0.000776346;0.0053081;0.00681049
-38.4255;11.4474;3.89206;0.365315;0.0101463;0.000109378;0.00499962;0.00712917
-38.0684;11.4474;3.88044;0.364759;0.0124388;0.000929027;0.00525478;0.00773148
-37.7113;11.4474;3.86823;0.366911;0.012537;0.000792877;0.00590346;0.00787965
-37.3541;11.4474;3.87329;0.368834;0.011308;0.00127023;0.00654099;0.00775227
-36.997;11.4474;3.89268;0.37211;0.0100915;0.00134147;0.00643201;0.00747146
-36.6399;11.4474;3.90595;0.374817;0.0110425;0.0019708;0.00724484;0.00786012
-36.2828;11.4474;3.90325;0.383796;0.0107609;0.00272503;0.00934115;0.00824089
-35.9257;11.4474;3.88681;0.403038;0.00861904;0.00245431;0.00995628;0.00789514
-35.5685;11.4474;3.87314;0.414248;0.0104339;0.00135142;0.00973914;0.00822769
-35.2114;11.4474;3.8643;0.413931;0.0106296;0.000507605;0.0109265;0.00850505
-34.8543;11.4474;3.87119;0.408265;0.00940814;-0.000306977;0.00980567;0.00801625
-34.4972;11.4474;3.87696;0.412446;0.00845867;-0.000697585;0.00837304;0.00751547
-34.1401;11.4474;3.88467;0.410105;0.00924148;-0.00207756;0.00645003;0.00724431
-33.783;11.4474;3.88303;0.40937;0.00977823;-0.00251242;0.00569;0.00719258
